,content
0,I want to repay my loan amount but I have forgotten the PIN so the app is locked and I am unable to pay the installment amount. Please investigate and resolve this as soon as possible so that I can pay the full amount. Still the issue is pending after multiple reminders. And the harrasment message are start from your side for pay the loan amount. Need the help for reset the pin so I can pay the Fully amount today.
1,"Many times I have taken the loan and paid before the due date,but yesterday was my due date and due to national holidays bank were closed,today morning I paid the amount,but when I reapply for the other loan , simply they just rejected,it's not good relationship with customer . think before taking the loan,they charged process fee every time,and charges high rate of interest"
2,"Great app with quick services. I have only one issue, the UI glitches regularly when I open the app. I use dark mode on my phone and when I open the app, it opens in light mode with the font colour also being white to reflect the dark mode preference. This means that I am unable to read the words displayed making it unusable. I have to switch my phone to light mode then refresh the app in order to use it then switch back to dark mode afterwards. Reinstalling the app does not fix this"
3,Many times I have taken the loan and paid before due date but this time amount showing credited into my account on app but after 24hrs still it is not credited. Even still reflecting thay amt. Credited to your bank account. What the hell is happening.
4,Many time I have taken the loan and personally I don't have any issue with this but yesterday while I paid my last loan within the time period and applied for a new loan thair is showing you are not eligible reapply after 180 days is this any kind of joke I need money that's why I applied for a loan with this much high interest charges and possessing fee . This is totally frustrated also I mailed it but no response from your team.
5,"The best loan app ever with low interest rate, long term payment and easy to access. There certifications are genuine and you nothing to worry about. I have been using it for years and i recommend branch international financial services"
6,I have had a chance to get an instant loan from other lending apps but truth be told no one matches the efficiency of Branch. I can say without any fear that this is the most efficient and customer friendly lending app I have ever met. I highly recommend it to other users because it's trustworthiness is something to behold. I could have given it even ten stars if it was allowed. Thank you Branch.
7,"Applied 2 days back. Every 6 hours I get an alert asking me to enter my Legal Name. I do that, again resets and I get a notification asking me enter the legal name again. Foolishly I am doing so. I don't know what is wrong with this application. Either Approved or Denied is sufficient but not causing inconvenience to us and not to mention waste of time. Pathetic!! Changing the review as they came back promptly and resolved my phone issue. Thank you for your help."
8,"Well, to be factual... I have onced dumped your app & even find a means of yabbing those in charge of the app due to the disappointment I had with you guys about 2years back... Not until recently that a friend re-introduce it to me...though I was reluctant but I decided to give it a shot... & to my amazement, I got the help almost immediately after filling the right infos.(within 2minutes of application). It came in @the very perfect time, I appreciated & repaid the same day! God bless Branch!"
9,"Overall everything's good about the app, except the processing fee and GST, it almost deduct the quater percent of loan to be credit for a customer. If you could help with it by any side it would be helpful. Thank you."
10,I had closed all my loan. After closing I am unable to take loan. I had been applied for increased credit limit. Bank statement was also verified successfully. But they didn't give the credit limit to take a loan. It seems that they are still reviewing the application. Customer service is very bad. No one replied for my query ticket and mail also. Hello I put an mail before 10 days. But no one replied. Please update in app.
11,"This is one of the best Apps I've used. I ordered for an ATM Card and it's delivered to my doorstep. The Card works perfectly well. However, I would like you guys to Increase Significantly, your Free Monthly Transfers and the Loan Amount to your Regular Customers. I highly recommend this App to whoever that's interested!"
12,"Great in all ramifications. They didn't bother me much on my loan repayment even as it was long overdue. They only called or sent reminders once in a while, to encourage me in repayment. Branch, you're the best!"
13,"Honestly Branch deserves more than 5stars! The loan application is super easy and it is disbursed in a very short time, has a very reasonable interest rate. I've tried downloading and trying many loan apps all of them were saying they can't give me a loan because of something about credit report issue(even palmpay sef😒as much as I used their app, after many months they suggested only ₦1k loan to me🧐)but everything was easy with branch. Now, I've solved the emergency that required my borrowing"
14,"I have cleared my previous loan on time without any delay. When i applying for the next loan it was showing try after 30 days. Now after 30 days when I applying it is showing apply after 180 days.. it is not acceptable.. they will say el""eligibility criteria is not matching"". After a good payment structure, good cibil, 100% payment record what else you need?? This is absolutely unacceptable.. it is very disappointing.."
15,"It is a very good application and I got the amount immediately after applying the loan It is an app that can be used only when it is very urgent to not get much cash because if there is more lgability, you will get more cash. Everything is fine but For example if we take Rs 1000 now we don't get the full amount and there will be charges and stuff I don't see any problem other than the eligibility given to you money 🤑 💰 will be given"
16,"I am using this app since 2021.. no doubt the app is genuine but the internet rate and processing fee is too high, if you calculate the disbursement amount with the interest rate it goes above 30-35%. They first said ""the higher loan amout the lower interest rate"" but actuality is ""the higher loan amount the higher interest rate and processing fees""....!! There are many other platform to take loan with lower interest rate, so be wise and careful when and where you are taking loans from....!!"
17,"I would say it's a great app , but for more than ymonths I made a transactions that never went through and my 6k going to a year has still not been refunded I'm waiting for a year so their damage fee can be huge when i file my cases. Despite reaching customer care and yet no solution to date, I'm very displeased about that aspect of their service."
18,In starting It was unknown to me but this is a good loan app. It is helpful and affordable. It's interest rate is also very affordable. Its payment is also good and flexible. It is a very good loan app. Only one problem is that there are less banks available to disburse the amount. It should be solved by them.
19,Really felt bad experience I am paying correct my payment but their something else make me to paying extra payment..now it's asking for pin code but I didn't set any pin now I don't know when I have to pay nu seriously worst with this...I really can't open mine and can't able to pay customer care number was switched off and I sent mail and given my account number pan etc but still they didn't respond.. really the app is threatening me
20,"I applied for a loan a few minutes ago, and although the loan details and interest rate are visible on the dashboard, I'm unable to withdraw it. The wallet keeps showing an error message. Despite reaching out to customer care, there has been no response. Such experiences can impact the reputation of your services."
21,Once got a loan from this App but after paying my loan that too before due date they simple put me on a waiting list without any reason as I was in need of for some emergency..Can't say it's a good App... Seems they were not able to built the trust of their costumers... I mail them but replying back that executive were looking into it..Chat mode in App replying with all unnecessary answers....If there 8s Negative - rank I'll give -3....
22,"Very impressive loan app. However, after meeting requirements, by repaying the loan as at when due; I was surprised that, the app lowered the accessible subsequent loan that came afterwards. The subsequent loan that came afterwards, was expected to be higher, not lower. In this aspect, I was not impressed at all."
23,"I have been using a ""branch online loan app"" for some time now. But some days ago, i got the surprise of my life when i applied for a loan and was denied the loan, and was also given 40 days to reapply again. According to ""branch organisation,"" it was due to some eligibility criteria issues, which i am totally confused about. Then i contacted customer service, and there was no valid information or genuine excuse for that. Now, the app is of no use for me, so i want deletion of my personal data."
24,"Thank you for helping me, only this app help me to get instant loan without salaried, no matter what it's from remote places or in any other's places they instantly provide the credit to my account according to my bank credit score. What a fair!!!"
25,Such a pathetic app ever. I have foreclosed the amount because I was able to arrange the funds. However post that they have completely denied helping out later saying I'm not eligible. I shouldn't have paid the amount to you guys. I'll ask my friends also not to use your pathetic app and service. There is no customer support to connect or share this.
26,I repaid the loan on time and instead of increasing the credit limit..they have decreased it very disappointed with the service...will not recommend this app .. there is no point in taking loan and repaying it on time ... worst experience
27,"""I've had a very good experience with the Branch app.The user-friendly interface, quick loan approvals, and transparent terms make it a standout choice for anyone seeking financial assistance. I highly recommend Branch to anyone in need of a hassle-free loan solution."" I would like to request to plz provide higher loan amount. I have used this app first time and get only approval for 500. Plz make it higher."
28,"Customer service is non existent, been reporting for a double payment for a month now and no update so far, number for calling doesnt work, reply takes forever, still not solving the issue. They have not returned my money. This is the worst service i have ever received even worst than actual bank. I dont recommend this app to anyone at all."
29,"I've been trying to make a repayment due today, since morning, but I've not been able to access the app. What is going on? As if that is not enough, before the due date which is today, I've been receiving threat calls, saying my loan is overdue. What really is going on? Please rectify this ASAP, SO I CAN MAKE MY REPAYMENT. PS: IT IS NOT NETWORK ISSUE NEITHER IS IT MY PHONE. I'VE BEEN DOING OTHER THINGS ONLINE AND MY PHONE IS WORKING PERFECTLY FINE.."
30,"Onboarding is excellent. Service is good & very fast. Only problem is less limit. Please increase limit It is a very good app, I have got my work done, this app also provides good customer service. You also install it now and immediately confirm and get your small work done. Stay connected with (Branch International Finance), Thank You BIF!"
31,"Very bad experience from the app, after clearly all loan amount before due date, the loan was rejected, even I don't have any dues in any loan, my cibil score is more the 780,but still, app shows not eligible, from call centre they called and told me to pay the loan amount before 3days so that, your loan amount will increase immediately, they called me more than 20 times, so i paid all amount before 4 days of due date, after paying the amount, there is no loan available, it's a very big scam ,"
32,This app is really genuine before this i tried true balance and never miss there payment even i always paid before my due date but they denied my loan but on this app if you pay their payment on time they never disappount you they started with low limit then after your repayment this app increase limit time to time so really fully satisfied with this app....
33,Please can you guys make your app like pay meaning you should make someone's card details on the app available just like pay including passwords you know what I mean check pay and see what they did. This is to be of easy help to those who forgot their passwords to their cards you can make it secured by requesting the user to put in their transaction password to complete the process.
34,"App is fluid, easy to use, and looks professional. It's just annoying when I get many unnecessary notifications (seems to be better now), and it also seems like nobody cares to respond to user's reviews. Additionally, the app may not be suitable for medium-sized to big loans; at least from my usage. Unlocking higher amounts for loans seems to be very slow. After taking and repaying 3 loans, my offer has increased from just #21,000 to #43,000 so far"
35,"Very bad experience first it was nice I got limit and i had paid all the amount on time and also I had taken loan more than 5 times but suddenly after repayment when I go to apply again it shows you are not elegible to apply the loan come after 180 days , but why I had done the payment on time. So i think it's not that much good app"
36,"the app is good though but the reason why I'm not giving them 5 Star ⭐ is because of the way they are conducting their loans process ,I believe someone that took the loan as a first timer and repay it even before the due date deserves to take a limit in loan, not the same amount anymore, please management should look into that , thank you 🙏"
37,"To obtain loan is as simple as ABCD. And the amazing thing is that they do not call you to disturb your life like others. Try it when you are in distress and see how BRANCH will come to save you. Still can't stop talking about this awesome app, Still enjoying this awesome and amazing app"
38,Nice loan app no hiccup since I started using this app their interest rate is fair enough but my issue is that they should try and be increasing the amount they disburse to clients who needs huge capital to solve one or two issues. For now am giving you guys 2stars maybe when you increase my next loan amount i will then give you 5stars.
39,"This is awesome! Branch leads, others follow!! I was highly impressed with the speed at which loan was disbursed!!! I also love the app interface. God bless the Branch immensely. The interest rate is also friendly."
